Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1886,16,325,26.8,5.49,2098,37.55,34.76,5.49,8.57,1.28,0.55,0.2,3.93,1.55,,2.65,2.02,0.246,0.303,0.332,0.634,11.54,,0.15,,,
1885,16,321,26.6,5.22,1780,37.41,35.24,5.22,8.6,1.23,0.54,0.18,3.64,,,1.98,1.87,0.244,0.288,0.325,0.613,11.46,,0.19,,,
1884,33,640,25.5,5.45,3074,37.32,35.56,5.45,8.65,1.31,0.5,0.22,--,,,1.61,1.41,0.243,0.279,0.327,0.606,11.63,,0.15,,,
1883,16,258,26.4,5.75,1570,38.21,36.73,5.75,9.44,1.58,0.6,0.15,--,,,1.48,1.83,0.257,0.286,0.345,0.631,12.69,,,,,
1882,14,229,25.7,5.33,1142,37.84,36.45,5.33,9.05,1.42,0.55,0.16,--,,,1.39,1.89,0.248,0.276,0.33,0.606,12.02,,,,,
1881,8,120,25.7,5.1,672,37.81,36.28,5.1,9.43,1.59,0.45,0.11,3.7,,,1.54,2.65,0.26,0.29,0.338,0.628,12.27,,,,,
1880,8,127,24.8,4.69,680,36.83,35.74,4.69,8.74,1.44,0.48,0.09,3.27,,,1.09,2.93,0.245,0.267,0.32,0.587,11.42,,,,,
1879,8,119,24.7,5.31,642,38.42,37.62,5.31,9.61,1.49,0.49,0.09,3.67,,,0.79,2.87,0.255,0.271,0.329,0.599,12.36,,,,,
1878,6,77,24.7,5.17,368,38.07,37.08,5.17,9.62,1.31,0.36,0.06,3.62,,,0.99,2.94,0.259,0.279,0.319,0.598,11.83,,,,,
1877,6,92,25.9,5.67,360,38.92,37.96,5.67,10.29,1.2,0.57,0.07,3.92,,,0.96,2.02,0.271,0.289,0.338,0.627,12.82,,,,,
1876,8,121,25.3,5.9,520,39.34,38.69,5.9,10.27,1.22,0.35,0.08,3.82,,,0.65,1.13,0.265,0.277,0.321,0.598,12.41,,,,,
1875,13,188,24.7,6.14,690,39.25,38.89,6.14,9.87,1.22,0.4,0.06,3.93,0.91,0.46,0.36,0.98,0.254,0.261,0.31,0.571,12.05,0.21,,,,
1874,8,120,25,7.48,464,41.69,41.17,7.48,11.26,1.37,0.42,0.09,4.85,0.52,0.21,0.51,0.77,0.273,0.282,0.333,0.616,13.72,0.23,,,,
1873,9,122,24,8.99,398,43.45,42.61,8.99,12.38,1.43,0.53,0.12,5.86,0.79,0.33,0.84,0.7,0.29,0.304,0.357,0.661,15.22,0.31,,,,
1872,11,143,23.4,9.26,366,43.52,42.8,9.26,12.2,1.59,0.4,0.1,5.83,0.73,0.37,0.72,0.72,0.285,0.297,0.348,0.645,14.89,0.27,,,,
1871,9,115,23.8,10.47,254,44.15,42.61,10.47,12.21,1.71,0.94,0.19,7.02,1.74,0.48,1.55,0.69,0.287,0.312,0.384,0.695,16.35,0.29,,,,
